"Sale Price"	"Lot Size"	"Waterfront"	"Age"	"Central Air"	"Fuel Type"	"Condition"	"Living Area"	"Pct College"	"Full Baths"	"Half Baths"	"Bedrooms"	"Fireplaces"
320000	0.61	No	6	Yes	Oil	3	2492	64	2	1	4	1
215000	0.63	No	21	Yes	Gas	3	1792	64	1	1	3	0
125000	0.35	No	22	No	Gas	3	1040	63	1	0	3	0
158900	0.21	No	3	No	Oil	3	1292	52	2	0	3	1
82000	0.17	No	21	No	Oil	2	1412	57	2	1	2	0
219200	1.08	No	30	No	Oil	3	1735	61	1	1	4	1
125000	0.16	No	133	No	Oil	2	852	57	1	1	2	0
110000	0.15	No	18	No	Gas	3	988	52	1	1	2	0
179000	0.6	No	29	No	Oil	3	2128	60	1	1	3	1
264900	0.55	No	16	Yes	Oil	3	1897	63	2	1	4	1
208000	0.12	No	3	No	Oil	3	1242	33	2	0	2	0
126000	0.74	No	47	No	Oil	3	1200	64	1	0	3	1
164700	0.16	No	25	Yes	Oil	3	1602	54	1	1	2	1
339000	0.68	No	38	No	Gas	3	2132	57	1	0	3	0
150000	0.08	No	68	No	Oil	3	1392	57	1	0	3	0
425000	1	No	15	No	Oil	3	3210	75	2	1	3	1
437339	1.11	No	1	Yes	Oil	3	2645	62	2	1	3	1
232580	0.55	No	0	Yes	Oil	3	2328	52	2	1	3	1
146000	0.5	No	35	No	Oil	3	1984	64	1	1	3	0
207375	0.03	No	1	Yes	Oil	3	2048	64	2	1	4	1
175000	0.29	No	27	Yes	Oil	3	1836	63	1	1	4	1
387000	0.46	No	1	No	Oil	3	3249	51	2	1	4	1
410000	1	No	21	Yes	Oil	3	3012	57	2	1	4	1
239900	0.14	No	17	Yes	Oil	3	1935	63	2	1	4	1
250000	0.85	No	9	Yes	Oil	3	1940	57	2	0	3	0
224000	0.46	No	24	Yes	Oil	3	2487	62	1	1	4	0
124500	0.19	No	21	No	Gas	3	945	63	1	0	2	0
257500	0.56	No	10	Yes	Oil	3	3174	57	2	1	6	1
175000	1	No	42	No	Oil	3	2382	64	2	1	4	1
